ip.len,udp.length,dns.flags.authoritative,dns.flags.recdesired,dns.flags.recavail,dns.flags.checkdisable,dns.count.answers,dns.count.auth_rr,dns.qry.name,dns.qry.type,target
397.0,377.0,1.0,0.0,0.0,1.0,2.0,0.0,84411160.0,28.0,0.0
436.0,416.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
263.0,243.0,1.0,0.0,0.0,1.0,2.0,0.0,34530136.0,1.0,0.0
262.0,242.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,1.0,0.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
1318.0,1298.0,0.0,1.0,1.0,0.0,15.0,13.0,61960000.0,255.0,1.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,28.0,0.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,1.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,28.0,0.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
1318.0,1298.0,0.0,1.0,1.0,0.0,15.0,13.0,61960000.0,255.0,1.0
385.0,365.0,1.0,0.0,0.0,1.0,2.0,0.0,10182126.0,1.0,0.0
428.0,408.0,0.0,0.0,0.0,0.0,0.0,7.0,39124656.0,12.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
273.0,253.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,28.0,0.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,61960000.0,255.0,1.0
436.0,416.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
274.0,254.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,28.0,0.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,1.0,0.0
273.0,253.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,28.0,0.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,34530136.0,28.0,0.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,1.0,0.0
510.0,490.0,1.0,0.0,0.0,1.0,0.0,4.0,11545027.0,1.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,1.0,0.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,34530136.0,28.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
436.0,416.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
261.0,241.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,1.0,0.0
72.0,52.0,1.0,0.0,0.0,1.0,0.0,0.0,49048370.0,1.0,0.0
263.0,243.0,1.0,0.0,0.0,1.0,2.0,0.0,34530136.0,1.0,0.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,1.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,28.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,28.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,28.0,0.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,61960000.0,255.0,1.0
78.0,58.0,1.0,0.0,0.0,1.0,0.0,0.0,89994050.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
273.0,253.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,28.0,0.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
71.0,51.0,1.0,0.0,0.0,1.0,0.0,0.0,10182126.0,1.0,0.0
263.0,243.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,1.0,0.0
273.0,253.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,28.0,0.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,1.0,0.0
78.0,58.0,1.0,0.0,0.0,1.0,0.0,0.0,89994050.0,28.0,0.0
277.0,257.0,1.0,0.0,0.0,1.0,2.0,0.0,4786954.0,28.0,0.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,1.0,0.0
743.0,723.0,1.0,0.0,0.0,0.0,0.0,4.0,1806580.0,43.0,0.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,1.0,0.0
267.0,247.0,1.0,0.0,0.0,1.0,2.0,0.0,14415365.0,28.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,28.0,0.0
1054.0,1034.0,0.0,1.0,0.0,0.0,14.0,13.0,61960000.0,255.0,1.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,61960000.0,255.0,1.0
397.0,377.0,1.0,0.0,0.0,1.0,2.0,0.0,84411160.0,28.0,0.0
255.0,235.0,1.0,0.0,0.0,1.0,2.0,0.0,14415365.0,1.0,0.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
262.0,242.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,1.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,28.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,1.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
263.0,243.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,1.0,0.0
79.0,59.0,1.0,0.0,0.0,1.0,0.0,0.0,34530136.0,28.0,0.0
510.0,490.0,1.0,0.0,0.0,1.0,0.0,4.0,11545027.0,1.0,0.0
436.0,416.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
1318.0,1298.0,0.0,1.0,1.0,0.0,15.0,13.0,61960000.0,255.0,1.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
273.0,253.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,28.0,0.0
397.0,377.0,1.0,0.0,0.0,1.0,2.0,0.0,10182126.0,28.0,0.0
262.0,242.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,1.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
72.0,52.0,1.0,0.0,0.0,1.0,0.0,0.0,49048370.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,28.0,0.0
273.0,253.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,28.0,0.0
263.0,243.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,1.0,0.0
385.0,365.0,1.0,0.0,0.0,1.0,2.0,0.0,10182126.0,1.0,0.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,61960000.0,255.0,1.0
397.0,377.0,1.0,0.0,0.0,1.0,2.0,0.0,84411160.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,1116142.0,1.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
274.0,254.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,28.0,0.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
265.0,245.0,1.0,0.0,0.0,1.0,2.0,0.0,4786954.0,1.0,0.0
397.0,377.0,1.0,0.0,0.0,1.0,2.0,0.0,84411160.0,28.0,0.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,34530136.0,28.0,0.0
277.0,257.0,1.0,0.0,0.0,1.0,2.0,0.0,4786954.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1318.0,1298.0,0.0,1.0,1.0,0.0,15.0,13.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,1.0,0.0
385.0,365.0,1.0,0.0,0.0,1.0,2.0,0.0,10182126.0,1.0,0.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,0.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
397.0,377.0,1.0,0.0,0.0,1.0,2.0,0.0,10182126.0,28.0,0.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,1.0,0.0
262.0,242.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,1.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1318.0,1298.0,0.0,1.0,1.0,0.0,15.0,13.0,61960000.0,255.0,1.0
263.0,243.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,1.0,0.0
274.0,254.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,28.0,0.0
262.0,242.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,1.0,0.0
436.0,416.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
273.0,253.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,28.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
263.0,243.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,1.0,0.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,1.0,0.0
265.0,245.0,1.0,0.0,0.0,1.0,2.0,0.0,4786954.0,1.0,0.0
1500.0,2082.0,0.0,1.0,1.0,0.0,20.0,13.0,61960000.0,255.0,1.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,28.0,0.0
267.0,247.0,1.0,0.0,0.0,1.0,2.0,0.0,14415365.0,28.0,0.0
1318.0,1298.0,0.0,1.0,1.0,0.0,15.0,13.0,61960000.0,255.0,1.0
436.0,416.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
1318.0,1298.0,0.0,1.0,1.0,0.0,15.0,13.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,1.0,0.0
385.0,365.0,1.0,0.0,0.0,1.0,2.0,0.0,10182126.0,1.0,0.0
510.0,490.0,1.0,0.0,0.0,1.0,0.0,4.0,11545027.0,1.0,0.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1500.0,1742.0,0.0,1.0,1.0,0.0,17.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
262.0,242.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,1.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
277.0,257.0,1.0,0.0,0.0,1.0,2.0,0.0,4786954.0,28.0,0.0
510.0,490.0,1.0,0.0,0.0,1.0,0.0,4.0,11545027.0,1.0,0.0
79.0,59.0,1.0,0.0,0.0,1.0,0.0,0.0,41176516.0,28.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
1318.0,1298.0,0.0,1.0,1.0,0.0,15.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1500.0,1742.0,0.0,1.0,1.0,0.0,17.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,61960000.0,255.0,1.0
267.0,247.0,1.0,0.0,0.0,1.0,2.0,0.0,14415365.0,28.0,0.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,28.0,0.0
261.0,241.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,1.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
397.0,377.0,1.0,0.0,0.0,1.0,2.0,0.0,84411160.0,28.0,0.0
274.0,254.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,28.0,0.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,28.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,28.0,0.0
1054.0,1034.0,0.0,1.0,0.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
79.0,59.0,1.0,0.0,0.0,1.0,0.0,0.0,41176516.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
79.0,59.0,1.0,0.0,0.0,1.0,0.0,0.0,34530136.0,1.0,0.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,1.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
274.0,254.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,28.0,0.0
273.0,253.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,1.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,28.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
581.0,561.0,1.0,0.0,0.0,0.0,0.0,4.0,70498620.0,43.0,0.0
273.0,253.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
262.0,242.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,1.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
277.0,257.0,1.0,0.0,0.0,1.0,2.0,0.0,4786954.0,28.0,0.0
397.0,377.0,1.0,0.0,0.0,1.0,2.0,0.0,10182126.0,28.0,0.0
343.0,323.0,0.0,0.0,0.0,1.0,0.0,4.0,37290710.0,1.0,0.0
436.0,416.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
263.0,243.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,1.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,28.0,0.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,1.0,0.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
262.0,242.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,1.0,0.0
84.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,63997204.0,12.0,0.0
265.0,245.0,1.0,0.0,0.0,1.0,2.0,0.0,4786954.0,1.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1318.0,1298.0,0.0,1.0,1.0,0.0,15.0,13.0,61960000.0,255.0,1.0
385.0,365.0,1.0,0.0,0.0,1.0,2.0,0.0,10182126.0,1.0,0.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,1.0,0.0
263.0,243.0,1.0,0.0,0.0,1.0,2.0,0.0,34530136.0,1.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,28.0,0.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,1.0,0.0
397.0,377.0,1.0,0.0,0.0,1.0,2.0,0.0,84411160.0,28.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
277.0,257.0,1.0,0.0,0.0,1.0,2.0,0.0,4786954.0,28.0,0.0
1054.0,1034.0,0.0,1.0,0.0,0.0,14.0,13.0,61960000.0,255.0,1.0
262.0,242.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,1.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
261.0,241.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,1.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,61960000.0,255.0,1.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,34530136.0,28.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
274.0,254.0,1.0,0.0,0.0,1.0,2.0,0.0,89994050.0,28.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
277.0,257.0,1.0,0.0,0.0,1.0,2.0,0.0,4786954.0,28.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,40171470.0,28.0,0.0
1054.0,1034.0,0.0,1.0,0.0,0.0,14.0,13.0,61960000.0,255.0,1.0
397.0,377.0,1.0,0.0,0.0,1.0,2.0,0.0,84411160.0,28.0,0.0
255.0,235.0,1.0,0.0,0.0,1.0,2.0,0.0,14415365.0,1.0,0.0
261.0,241.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,1.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,28.0,0.0
267.0,247.0,1.0,0.0,0.0,1.0,2.0,0.0,14415365.0,28.0,0.0
263.0,243.0,1.0,0.0,0.0,1.0,2.0,0.0,34530136.0,1.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,1.0,0.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
78.0,58.0,1.0,0.0,0.0,1.0,0.0,0.0,89994050.0,1.0,0.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,34530136.0,28.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,28.0,0.0
1318.0,1298.0,0.0,1.0,1.0,0.0,15.0,13.0,61960000.0,255.0,1.0
397.0,377.0,1.0,0.0,0.0,1.0,2.0,0.0,10182126.0,28.0,0.0
1500.0,1742.0,0.0,1.0,1.0,0.0,17.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
1500.0,2082.0,0.0,1.0,1.0,0.0,20.0,13.0,61960000.0,255.0,1.0
275.0,255.0,1.0,0.0,0.0,1.0,2.0,0.0,41176516.0,28.0,0.0
436.0,416.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
261.0,241.0,1.0,0.0,0.0,1.0,2.0,0.0,10863993.0,1.0,0.0
265.0,245.0,1.0,0.0,0.0,1.0,2.0,0.0,4786954.0,1.0,0.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
385.0,365.0,1.0,0.0,0.0,1.0,2.0,0.0,10182126.0,1.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,28.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
267.0,247.0,0.0,1.0,0.0,0.0,0.0,13.0,61960000.0,255.0,1.0
436.0,416.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
259.0,239.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,1.0,0.0
1500.0,2139.0,0.0,1.0,1.0,0.0,21.0,13.0,61960000.0,255.0,1.0
71.0,51.0,1.0,0.0,0.0,1.0,0.0,0.0,10182126.0,1.0,0.0
271.0,251.0,1.0,0.0,0.0,1.0,2.0,0.0,49048370.0,28.0,0.0
277.0,257.0,1.0,0.0,0.0,1.0,2.0,0.0,4786954.0,28.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
77.0,57.0,1.0,0.0,0.0,1.0,0.0,0.0,10863993.0,28.0,0.0
75.0,55.0,1.0,0.0,0.0,1.0,0.0,0.0,34602960.0,1.0,0.0
896.0,876.0,0.0,1.0,1.0,0.0,13.0,13.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,0.0,14.0,13.0,61960000.0,255.0,1.0
